TypeValue;Min;Max;Label
PCRTypeValue_Derivated;;0.5;< -0.5
PCRTypeValue_Derivated;-0.5;0.4;from -0.5 to 0.4
PCRTypeValue_Derivated;-0.4;-0.3;from -0.4 to -0.3
PCRTypeValue_Derivated;-0.3;-0.2;from -0.3 to -0.2
PCRTypeValue_Derivated;-0.2;-0.1;from -0.2 to -0.1
PCRTypeValue_Derivated;-0.1;-0.05;from -0.1 to -0.05
PCRTypeValue_Derivated;-0.05;-0.025;from -0.05 to -0.025
PCRTypeValue_Derivated;-0.025;-0.001;from -0.025 to -0.001
PCRTypeValue_Derivated;-0.001;-0.005;from -0.001 to -0.005
PCRTypeValue_Derivated;-0.005;-0.0025;from -0.005 to -0.0025
PCRTypeValue_Derivated;-0.0025;-0.001;from -0.0025 to -0.001
PCRTypeValue_Derivated;-0.001;0;from -0.001 to 0
PCRTypeValue_Derivated;0;0.001;from 0 to 0.001
PCRTypeValue_Derivated;0.001;0.0025;from 0.001 to 0.0025
PCRTypeValue_Derivated;0.0025;0.005;from 0.0025 to 0.005
PCRTypeValue_Derivated;0.005;0.01;from 0.005 to 0.01
PCRTypeValue_Derivated;0.01;0.025;from 0.01 to 0.025
PCRTypeValue_Derivated;0.025;0.05;from 0.025 to 0.05
PCRTypeValue_Derivated;0.05;0.1;from 0.05 to 0.1
PCRTypeValue_Derivated;0.1;0.2;from 0.1 to 0.2
PCRTypeValue_Derivated;0.2;0.3;from 0.2 to 0.3
PCRTypeValue_Derivated;0.3;0.4;from 0.3 to 0.4
PCRTypeValue_Derivated;0.4;0.5;from 0.4 to 0.5
PCRTypeValue_Derivated;0.5;;> 0.5
