departement;type1;debutcouvre1;fincouvre1;detailhours1;type2;debutcouvre2;fincouvre2;detailhours2;type3;debutcouvre3;fincouvre3;detailhours3;type4;debutcouvre4;fincouvre4;detailhours4
1;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
2;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
3;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;10/01/2021;;"18:00;06:00"
4;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;10/01/2021;;"18:00;06:00"
5;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
6;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
7;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
8;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
9;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
10;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
11;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
12;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
13;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;10/01/2021;;"18:00;06:00"
14;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
15;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
16;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
17;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
18;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;10/01/2021;;"18:00;06:00"
19;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
21;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;10/01/2021;;"18:00;06:00"
22;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
23;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
24;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
25;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
26;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;12/01/2021;;"18:00;06:00"
27;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
28;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
29;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
30;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
31;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
32;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
33;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
34;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
35;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
36;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
37;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
38;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
39;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
40;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
41;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
42;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
43;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
44;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
45;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
46;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
47;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
48;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
49;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
