Departement;Voisin 1;Voisin 2;Voisin 3;Voisin 4;Voisin 5;Voisin 6;Voisin 7;Voisin 8;Axe1;Axe2;Axe3;Axe4;Axe5;Axe6;Axe7
1;38;73;74;39;71;69;;;75;77;78;91;92;93;94
2;59;80;60;77;51;8;;;75;77;78;91;92;93;94
3;42;71;58;18;23;63;;;75;77;78;91;92;93;94
4;83;6;5;26;84;13;;;75;77;78;91;92;93;94
5;4;26;38;73;;;;;75;77;78;91;92;93;94
6;83;4;20;;;;;;75;77;78;91;92;93;94
7;48;30;84;26;38;69;43;;75;77;78;91;92;93;94
8;55;51;2;59;;;;;75;77;78;91;92;93;94
9;31;11;66;;;;;;75;77;78;91;92;93;94
10;89;21;52;51;77;;;;75;77;78;91;92;93;94
11;9;31;81;34;;;;;75;77;78;91;92;93;94
12;34;30;48;15;46;82;81;;75;77;78;91;92;93;94
13;30;84;83;20;;;;;75;77;78;91;92;93;94
14;27;61;50;;;;;;75;77;78;91;92;93;94
15;48;43;63;19;46;12;;;75;77;78;91;92;93;94
16;17;79;86;87;24;;;;75;77;78;91;92;93;94
17;85;79;16;33;;;;;75;77;78;91;92;93;94
18;36;41;45;89;58;3;23;;75;77;78;91;92;93;94
19;23;87;24;46;15;63;;;75;77;78;91;92;93;94
20;13;83;6;;;;;;75;77;78;91;92;93;94
21;10;89;58;71;39;70;52;;75;77;78;91;92;93;94
22;29;56;35;;;;;;75;77;78;91;92;93;94
23;87;19;63;3;18;36;;;75;77;78;91;92;93;94
24;17;16;87;19;46;47;33;;75;77;78;91;92;93;94
25;39;70;90;;;;;;75;77;78;91;92;93;94
26;84;4;5;38;69;7;;;75;77;78;91;92;93;94
27;76;60;95;78;28;61;14;;75;77;78;91;92;93;94
28;27;78;91;45;41;72;61;;75;77;78;91;92;93;94
29;22;56;;;;;;;75;77;78;91;92;93;94
30;34;12;48;7;26;84;13;;75;77;78;91;92;93;94
31;65;32;82;81;11;9;;;75;77;78;91;92;93;94
32;31;65;64;40;47;82;;;75;77;78;91;92;93;94
33;17;24;47;40;;;;;75;77;78;91;92;93;94
34;11;81;12;30;;;;;75;77;78;91;92;93;94
35;50;53;49;44;56;22;;;75;77;78;91;92;93;94
36;37;41;18;23;87;86;;;75;77;78;91;92;93;94
37;41;36;86;49;72;;;;75;77;78;91;92;93;94
38;5;73;1;69;7;26;5;;75;77;78;91;92;93;94
39;1;71;21;70;25;;;;75;77;78;91;92;93;94
40;33;47;32;64;;;;;75;77;78;91;92;93;94
41;72;37;36;18;45;28;;;75;77;78;91;92;93;94
42;43;69;71;3;63;;;;75;77;78;91;92;93;94
43;48;7;69;42;63;15;;;75;77;78;91;92;93;94
44;56;35;53;49;85;;;;75;77;78;91;92;93;94
45;91;77;28;41;18;58;89;;75;77;78;91;92;93;94
46;15;19;24;47;82;12;;;75;77;78;91;92;93;94
47;33;40;32;82;46;24;;;75;77;78;91;92;93;94
48;12;30;7;43;15;;;;75;77;78;91;92;93;94
49;44;53;72;37;86;79;85;;75;77;78;91;92;93;94
50;14;61;53;35;;;;;75;77;78;91;92;93;94
51;2;77;10;52;55;8;;;75;77;78;91;92;93;94
52;21;70;88;55;51;10;;;75;77;78;91;92;93;94
53;49;72;61;50;35;44;;;75;77;78;91;92;93;94
54;57;67;88;55;;;;;75;77;78;91;92;93;94
55;54;88;52;51;8;;;;75;77;78;91;92;93;94
56;29;22;35;44;;;;;75;77;78;91;92;93;94
57;67;88;54;;;;;;75;77;78;91;92;93;94
58;3;71;21;89;45;18;;;75;77;78;91;92;93;94
59;2;80;62;8;;;;;75;77;78;91;92;93;94
