identity;dept;clage90;valuedate;valuePDivT;speedPDivT;accelerationPDivT
WPCR-254265;91;0;2020-05-13T00:00
WPCR-254276;91;0;2020-05-14T00:00
WPCR-254287;91;0;2020-05-15T00:00;0,036929648721;-0,004575935472;-0,015153684612
WPCR-254298;91;0;2020-05-16T00:00;0,019965277778;-0,016964370943;-0,012388435472
WPCR-254309;91;0;2020-05-17T00:00;0,026353276353;0,006387998576;0,023352369519
WPCR-254320;91;0;2020-05-18T00:00;0,026103026103;-0,00025025025;-0,006638248826
WPCR-254331;91;0;2020-05-19T00:00;0,036393016748;0,010289990645;0,010540240896
WPCR-254342;91;0;2020-05-20T00:00;0,023437808951;-0,012955207798;-0,023245198443
WPCR-254353;91;0;2020-05-21T00:00;0,021891486509;-0,001546322442;0,011408885356
WPCR-254364;91;0;2020-05-22T00:00;0,01825485581;-0,003636630699;-0,002090308257
WPCR-254375;91;0;2020-05-23T00:00;0,015638116529;-0,002616739281;0,001019891418
WPCR-254386;91;0;2020-05-24T00:00;0,011073980687;-0,004564135842;-0,001947396561
WPCR-254397;91;0;2020-05-25T00:00;0,010155387765;-0,000918592922;0,003645542921
WPCR-254408;91;0;2020-05-26T00:00;0,01270217534;0,002546787575;0,003465380496
WPCR-254419;91;0;2020-05-27T00:00;0,017482507687;0,004780332347;0,002233544772
WPCR-254430;91;0;2020-05-28T00:00;0,017685982942;0,000203475255;-0,004576857092
WPCR-254441;91;0;2020-05-29T00:00;0,017095936231;-0,000590046711;-0,000793521966
WPCR-254452;91;0;2020-05-30T00:00;0,019098934211;0,00200299798;0,00259304469
WPCR-254463;91;0;2020-05-31T00:00;0,020153698924;0,001054764713;-0,000948233267
WPCR-254474;91;0;2020-06-01T00:00;0,023341554711;0,003187855787;0,002133091075
WPCR-254485;91;0;2020-06-02T00:00;0,019271345938;-0,004070208773;-0,00725806456
WPCR-254496;91;0;2020-06-03T00:00;0,017034067436;-0,002237278502;0,001832930271
WPCR-254507;91;0;2020-06-04T00:00;0,017089425285;0,000055357849;0,002292636351
WPCR-254518;91;0;2020-06-05T00:00;0,015556358865;-0,00153306642;-0,001588424269
WPCR-254529;91;0;2020-06-06T00:00;0,027349093731;0,011792734866;0,013325801286
WPCR-254540;91;0;2020-06-07T00:00;0,02383219742;-0,003516896311;-0,015309631177
WPCR-254551;91;0;2020-06-08T00:00;0,021904129196;-0,001928068224;0,001588828087
WPCR-254562;91;0;2020-06-09T00:00;0,018043093752;-0,003861035445;-0,001932967221
WPCR-254573;91;0;2020-06-10T00:00;0,018359092307;0,000315998556;0,004177034
WPCR-254584;91;0;2020-06-11T00:00;0,020822164823;0,002463072516;0,00214707396
WPCR-254595;91;0;2020-06-12T00:00;0,011480617295;-0,009341547528;-0,011804620043
WPCR-254606;91;0;2020-06-13T00:00;0,007959490535;-0,003521126761;0,005820420767
WPCR-254617;91;0;2020-06-14T00:00;0,010079887119;0,002120396584;0,005641523345
WPCR-254628;91;0;2020-06-15T00:00;0,01139058415;0,001310697031;-0,000809699553
WPCR-254639;91;0;2020-06-16T00:00;0,017879655188;0,006489071038;0,005178374007
WPCR-254650;91;0;2020-06-17T00:00;0,013705812304;-0,004173842884;-0,010662913922
WPCR-254661;91;0;2020-06-18T00:00;0,012306563879;-0,001399248425;0,002774594458
WPCR-254672;91;0;2020-06-19T00:00;0,007404794428;-0,004901769451;-0,003502521026
WPCR-254683;91;0;2020-06-20T00:00;0,007554657678;0,00014986325;0,005051632701
WPCR-254694;91;0;2020-06-21T00:00;0,013731290952;0,006176633274;0,006026770024
WPCR-254705;91;0;2020-06-22T00:00;0,017543557399;0,003812266447;-0,002364366826
WPCR-254716;91;0;2020-06-23T00:00;0,018258187833;0,000714630434;-0,003097636013
WPCR-254727;91;0;2020-06-24T00:00;0,01435519902;-0,003902988813;-0,004617619247
WPCR-254738;91;0;2020-06-25T00:00;0,012200879015;-0,002154320005;0,001748668808
WPCR-254749;91;0;2020-06-26T00:00;0,01222747256;0,000026593544;0,002180913549
WPCR-254760;91;0;2020-06-27T00:00;0,012529832442;0,000302359882;0,000275766338
WPCR-254771;91;0;2020-06-28T00:00;0,009284584412;-0,00324524803;-0,003547607912
WPCR-254782;91;0;2020-06-29T00:00;0,010393296854;0,001108712442;0,004353960471
WPCR-254793;91;0;2020-06-30T00:00;0,007307971215;-0,003085325639;-0,004194038081
WPCR-254804;91;0;2020-07-01T00:00;0,009826286233;0,002518315018;0,005603640657
WPCR-254815;91;0;2020-07-02T00:00;0,008185178521;-0,001641107712;-0,00415942273
WPCR-254826;91;0;2020-07-03T00:00;0,018056840105;0,009871661583;0,011512769295
WPCR-254837;91;0;2020-07-04T00:00;0,016828015738;-0,001228824367;-0,01110048595
WPCR-254848;91;0;2020-07-05T00:00;0,017024424727;0,000196408989;0,001425233356
WPCR-254859;91;0;2020-07-06T00:00;0,006863955091;-0,010160469635;-0,010356878624
WPCR-254870;91;0;2020-07-07T00:00;0,008329285377;0,001465330285;0,011625799921
WPCR-254881;91;0;2020-07-08T00:00;0,007293454973;-0,001035830404;-0,002501160689
WPCR-254892;91;0;2020-07-09T00:00;0,007870473071;0,000577018098;0,001612848502
WPCR-254903;91;0;2020-07-10T00:00;0,008769096811;0,00089862374;0,000321605642
WPCR-254914;91;0;2020-07-11T00:00;0,008868311654;0,000099214843;-0,000799408896
WPCR-254925;91;0;2020-07-12T00:00;0,01143433481;0,002566023156;0,002466808313
WPCR-254936;91;0;2020-07-13T00:00;0,010470508208;-0,000963826602;-0,003529849758
WPCR-254947;91;0;2020-07-14T00:00;0,014114275273;0,003643767065;0,004607593667
WPCR-254958;91;0;2020-07-15T00:00;0,012774154782;-0,001340120491;-0,004983887557
WPCR-254969;91;0;2020-07-16T00:00;0,014107209957;0,001333055175;0,002673175666
WPCR-254980;91;0;2020-07-17T00:00;0,012789298159;-0,001317911798;-0,002650966973
WPCR-254991;91;0;2020-07-18T00:00;0,012130781358;-0,000658516801;0,000659394997
WPCR-255002;91;0;2020-07-19T00:00;0,011044965671;-0,001085815687;-0,000427298886
WPCR-255013;91;0;2020-07-20T00:00;0,014414476914;0,003369511243;0,00445532693
WPCR-255024;91;0;2020-07-21T00:00;0,01791819385;0,003503716936;0,000134205693
WPCR-255035;91;0;2020-07-22T00:00;0,020767764484;0,002849570633;-0,000654146303
WPCR-255046;91;0;2020-07-23T00:00;0,018440358147;-0,002327406337;-0,00517697697
WPCR-255057;91;0;2020-07-24T00:00;0,015674000511;-0,002766357636;-0,000438951299
WPCR-255068;91;0;2020-07-25T00:00;0,015515277943;-0,000158722568;0,002607635068
WPCR-255079;91;0;2020-07-26T00:00;0,012358154792;-0,003157123151;-0,002998400583
WPCR-255090;91;0;2020-07-27T00:00;0,015444015829;0,003085861036;0,006242984187
WPCR-255101;91;0;2020-07-28T00:00;0,017282479123;0,001838463294;-0,001247397742
WPCR-255112;91;0;2020-07-29T00:00;0,021758905625;0,004476426502;0,002637963208
WPCR-255123;91;0;2020-07-30T00:00;0,022875178557;0,001116272932;-0,00336015357
WPCR-255134;91;0;2020-07-31T00:00;0,022243920256;-0,000631258302;-0,001747531234
WPCR-255145;91;0;2020-08-01T00:00;0,023381773971;0,001137853716;0,001769112017
WPCR-255156;91;0;2020-08-02T00:00;0,02999019225;0,006608418279;0,005470564563
WPCR-255167;91;0;2020-08-03T00:00;0,030524896142;0,000534703892;-0,006073714387
WPCR-255178;91;0;2020-08-04T00:00;0,034814273872;0,00428937773;0,003754673838
