category;subcategory;confinementdebut1;status1d;confinementfin1;status1f;couvrefeudebut2;status2d;couvrefeufin2;status2f;confinementdebut3;status3d;confinementfin3;status3f;couvrefeudebut4;status4d;couvrefeufin4;status4f;couvrefeudebut5;status5d;couvrefeufin5;status5f;couvrefeudebut6;status6d;couvrefeufin6;status6f;couvrefeudebut7;status7d;couvrefeufin7;status7f;couvrefeudebut8;status8d;couvrefeufin8;status8f;confinementdebut9;status9d;confinementfin9;status9f;couvrefeudebut10;status10d;couvrefeufin10;status10f;couvrefeudebut11;status11d;couvrefeufin11;status11f;check
AutoService;AutoService;17/03/2020;;11/05/2020;;22/10/2020;;30/10/2020;;30/10/2020;;15/12/2020;;15/12/2020;;01/01/2021;;02/01/2021;;;;10/01/2021;;;;12/01/2021;;;;16/01/2021;;;;04/04/2021;;03/05/2021;;20/03/2021;;;;19/05/2021;;;;0
 DistriCenter;food;17/03/2020;;11/05/2020;;22/10/2020;;30/10/2020;;30/10/2020;;15/12/2020;;15/12/2020;;01/01/2021;;02/01/2021;;;;10/01/2021;;;;12/01/2021;;;;16/01/2021;;;;04/04/2021;;03/05/2021;;20/03/2021;;;;19/05/2021;;;;0
 Papeterie;shop;17/03/2020;-1;11/05/2020;1;22/10/2020;;30/10/2020;;30/10/2020;-1;15/12/2020;1;15/12/2020;;01/01/2021;;02/01/2021;;;;10/01/2021;;;;12/01/2021;;;;16/01/2021;;;;04/04/2021;-1;03/05/2021;1;20/03/2021;;;;19/05/2021;;;;0
amenity;amenity;17/03/2020;-1;11/05/2020;1;22/10/2020;;30/10/2020;;30/10/2020;-1;15/12/2020;1;15/12/2020;;01/01/2021;;02/01/2021;;;;10/01/2021;;;;12/01/2021;;;;16/01/2021;;;;04/04/2021;-1;03/05/2021;1;20/03/2021;;;;19/05/2021;;;;0
amenity;childcare;17/03/2020;;11/05/2020;;22/10/2020;;30/10/2020;;30/10/2020;;15/12/2020;;15/12/2020;;01/01/2021;;02/01/2021;;;;10/01/2021;;;;12/01/2021;;;;16/01/2021;;;;04/04/2021;;03/05/2021;;20/03/2021;;;;19/05/2021;;;;0
amenity;copyshop;17/03/2020;-1;11/05/2020;1;22/10/2020;;30/10/2020;;30/10/2020;-1;15/12/2020;1;15/12/2020;;01/01/2021;;02/01/2021;;;;10/01/2021;;;;12/01/2021;;;;16/01/2021;;;;04/04/2021;-1;03/05/2021;1;20/03/2021;;;;19/05/2021;;;;0
amenity;employment_agency;17/03/2020;;11/05/2020;;22/10/2020;;30/10/2020;;30/10/2020;;15/12/2020;;15/12/2020;;01/01/2021;;02/01/2021;;;;10/01/2021;;;;12/01/2021;;;;16/01/2021;;;;04/04/2021;;03/05/2021;;20/03/2021;;;;19/05/2021;;;;0
amenity;funeral_directors;17/03/2020;;11/05/2020;;22/10/2020;;30/10/2020;;30/10/2020;;15/12/2020;;15/12/2020;;01/01/2021;;02/01/2021;;;;10/01/2021;;;;12/01/2021;;;;16/01/2021;;;;04/04/2021;;03/05/2021;;20/03/2021;;;;19/05/2021;;;;0
amenity;hotel;17/03/2020;-0,5;11/05/2020;;22/10/2020;;30/10/2020;;30/10/2020;;15/12/2020;;15/12/2020;;01/01/2021;;02/01/2021;;;;10/01/2021;;;;12/01/2021;;;;16/01/2021;;;;04/04/2021;;03/05/2021;;20/03/2021;;;;19/05/2021;0,25;;;-0,25
amenity;insurance;17/03/2020;-1;11/05/2020;1;22/10/2020;;30/10/2020;;30/10/2020;-1;15/12/2020;1;15/12/2020;;01/01/2021;;02/01/2021;;;;10/01/2021;;;;12/01/2021;;;;16/01/2021;;;;04/04/2021;-1;03/05/2021;1;20/03/2021;;;;19/05/2021;;;;0
