dep;vaccin;jour;n_dose1;n_dose2;n_cum_dose1;n_cum_dose2
01;1;2020-12-27;0;0;0.0;0.0
01;1;2020-12-28;0;0;0.0;0.0
01;1;2020-12-29;0;0;0.0;0.0
01;1;2020-12-30;0;0;0.0;0.0
01;1;2020-12-31;0;0;0.0;0.0
01;1;2021-01-01;0;0;0.0;0.0
01;1;2021-01-02;0;0;0.0;0.0
01;1;2021-01-03;0;0;0.0;0.0
01;1;2021-01-04;0;0;0.0;0.0
01;1;2021-01-05;0;0;0.0;0.0
01;1;2021-01-06;1;0;1.0;0.0
01;1;2021-01-07;66;0;67.0;0.0
01;1;2021-01-08;159;0;226.0;0.0
01;1;2021-01-09;2;0;228.0;0.0
01;1;2021-01-10;0;0;228.0;0.0
01;1;2021-01-11;147;0;375.0;0.0
01;1;2021-01-12;315;0;690.0;0.0
01;1;2021-01-13;443;0;1133.0;0.0
01;1;2021-01-14;513;0;1646.0;0.0
01;1;2021-01-15;395;0;2041.0;0.0
01;1;2021-01-16;202;0;2243.0;0.0
01;1;2021-01-17;127;0;2370.0;0.0
01;1;2021-01-18;360;1;2730.0;1.0
01;1;2021-01-19;1038;1;3768.0;2.0
01;1;2021-01-20;1253;2;5021.0;4.0
01;1;2021-01-21;1087;3;6108.0;7.0
01;1;2021-01-22;644;0;6752.0;7.0
01;1;2021-01-23;222;0;6974.0;7.0
01;1;2021-01-24;69;0;7043.0;7.0
01;1;2021-01-25;468;1;7511.0;8.0
01;1;2021-01-26;736;1;8247.0;9.0
01;1;2021-01-27;517;2;8764.0;11.0
01;1;2021-01-28;671;53;9435.0;64.0
01;1;2021-01-29;634;98;10069.0;162.0
01;1;2021-01-30;233;14;10302.0;176.0
01;1;2021-01-31;59;0;10361.0;176.0
01;1;2021-02-01;433;74;10794.0;250.0
01;1;2021-02-02;508;184;11302.0;434.0
01;1;2021-02-03;362;298;11664.0;732.0
01;1;2021-02-04;471;419;12135.0;1151.0
01;1;2021-02-05;428;277;12563.0;1428.0
01;1;2021-02-06;254;139;12817.0;1567.0
01;1;2021-02-07;2;113;12819.0;1680.0
01;1;2021-02-08;452;400;13271.0;2080.0
01;1;2021-02-09;720;840;13991.0;2920.0
01;1;2021-02-10;851;711;14842.0;3631.0
01;1;2021-02-11;714;773;15556.0;4404.0
01;1;2021-02-12;559;543;16115.0;4947.0
01;1;2021-02-13;158;149;16273.0;5096.0
01;1;2021-02-14;0;9;16273.0;5105.0
01;1;2021-02-15;316;439;16589.0;5544.0
01;1;2021-02-16;455;395;17044.0;5939.0
01;1;2021-02-17;348;231;17392.0;6170.0
01;1;2021-02-18;392;549;17784.0;6719.0
01;1;2021-02-19;395;231;18179.0;6950.0
01;1;2021-02-20;126;152;18305.0;7102.0
01;1;2021-02-21;0;1;18305.0;7103.0
01;1;2021-02-22;366;545;18671.0;7648.0
01;1;2021-02-23;432;514;19103.0;8162.0
01;1;2021-02-24;382;456;19485.0;8618.0
01;1;2021-02-25;436;587;19921.0;9205.0
01;1;2021-02-26;384;538;20305.0;9743.0
01;1;2021-02-27;170;99;20475.0;9842.0
01;1;2021-02-28;0;0;20475.0;9842.0
01;1;2021-03-01;434;435;20909.0;10277.0
01;1;2021-03-02;630;513;21539.0;10790.0
01;1;2021-03-03;510;625;22049.0;11415.0
01;1;2021-03-04;604;596;22653.0;12011.0
01;1;2021-03-05;536;442;23189.0;12453.0
01;1;2021-03-06;231;64;23420.0;12517.0
01;1;2021-03-07;0;1;23420.0;12518.0
01;1;2021-03-08;501;637;23921.0;13155.0
01;1;2021-03-09;656;631;24577.0;13786.0
01;1;2021-03-10;557;517;25134.0;14303.0
01;1;2021-03-11;805;669;25939.0;14972.0
