Dép.;Code INSEE;Chef-lieu
;;
1;11;Belley
1;12;Bourg-en-Bresse
1;13;Gex
1;14;Nantua
2;21;Château-Thierry
2;22;Laon
2;23;Saint-Quentin
2;24;Soissons
2;25;Vervins
2A;2A1;Ajaccio
2A;2A4;Sartène
2B;2B2;Bastia
2B;2B3;Corte
2B;2B5;Calvi
3;31;Montluçon
3;32;Moulins
3;33;Vichy
4;41;Barcelonnette
4;42;Castellane
4;43;Digne-les-Bains
4;44;Forcalquier
5;51;Briançon
5;52;Gap
6;61;Grasse
6;62;Nice
7;71;Largentière
7;72;Privas
7;73;Tournon-sur-Rhône
8;81;Charleville-Mézières
8;82;Rethel
8;83;Sedan
8;84;Vouziers
9;91;Foix
9;92;Pamiers
9;93;Saint-Girons
10;101;Bar-sur-Aube
10;102;Nogent-sur-Seine
10;103;Troyes
11;111;Carcassonne
11;112;Limoux
11;113;Narbonne
12;121;Millau
12;122;Rodez
12;123;Villefranche-de-Rouergue
13;131;Aix-en-Provence
13;132;Arles
13;133;Marseille
13;134;Istres
14;141;Bayeux
14;142;Caen
14;143;Lisieux
14;144;Vire Normandie
15;151;Aurillac
15;152;Mauriac
15;153;Saint-Flour
16;161;Angoulême
16;162;Cognac
16;163;Confolens
17;171;Jonzac
17;172;Rochefort
17;173;La Rochelle
17;174;Saintes
17;175;Saint-Jean-d'Angély
18;181;Bourges
18;182;Saint-Amand-Montrond
18;183;Vierzon
19;191;Brive-la-Gaillarde
19;192;Tulle
19;193;Ussel
21;211;Beaune
21;212;Dijon
21;213;Montbard
22;221;Dinan
22;222;Guingamp
22;223;Lannion
22;224;Saint-Brieuc
23;231;Aubusson
23;232;Guéret
24;241;Bergerac
24;242;Nontron
24;243;Périgueux
24;244;Sarlat-la-Canéda
25;251;Besançon
25;252;Montbéliard
25;253;Pontarlier
26;261;Die
26;262;Nyons
26;263;Valence
27;271;Les Andelys
27;272;Bernay
27;273;Évreux
28;281;Chartres
28;282;Châteaudun
28;283;Dreux
28;284;Nogent-le-Rotrou
29;291;Brest
29;292;Châteaulin
29;293;Morlaix
29;294;Quimper
30;301;Alès
30;302;Nîmes
30;303;Le Vigan
31;311;Muret
31;312;Saint-Gaudens
31;313;Toulouse
32;321;Auch
32;322;Condom
32;323;Mirande
33;331;Blaye
33;332;Bordeaux
33;333;Langon
33;334;Lesparre-Médoc
33;335;Libourne
33;336;Arcachon
34;341;Béziers
34;342;Lodève
34;343;Montpellier
35;351;Fougères
35;352;Redon
35;353;Rennes
35;354;Saint-Malo
36;361;Le Blanc
36;362;Châteauroux
36;363;La Châtre
36;364;Issoudun
37;371;Chinon
37;372;Tours
37;373;Loches
38;381;Grenoble
38;382;La Tour-du-Pin
38;383;Vienne
39;391;Dole
39;392;Lons-le-Saunier
39;393;Saint-Claude
40;401;Dax
40;402;Mont-de-Marsan
41;411;Blois
41;412;Vendôme
41;413;Romorantin-Lanthenay
42;421;Montbrison
42;422;Roanne
42;423;Saint-Étienne
43;431;Brioude
43;432;Le Puy-en-Velay
43;433;Yssingeaux
44;442;Nantes
44;443;Saint-Nazaire
44;445;Châteaubriant
45;451;Montargis
45;452;Orléans
45;453;Pithiviers
46;461;Cahors
46;462;Figeac
46;463;Gourdon
47;471;Agen
47;472;Marmande
47;473;Villeneuve-sur-Lot
47;474;Nérac
48;481;Florac Trois Rivières
48;482;Mende
49;491;Angers
49;492;Cholet
49;493;Saumur
49;494;Segré-en-Anjou Bleu
50;501;Avranches
50;502;Cherbourg-en-Cotentin
50;503;Coutances
50;504;Saint-Lô
51;511;Châlons-en-Champagne
51;512;Épernay
51;513;Reims
51;514;Vitry-le-François
52;521;Chaumont
52;522;Langres
52;523;Saint-Dizier
53;531;Château-Gontier-sur-Mayenne
53;532;Laval
53;533;Mayenne
54;541;Val de Briey
54;542;Lunéville
54;543;Nancy
54;544;Toul
55;551;Bar-le-Duc
55;552;Commercy
55;553;Verdun
56;561;Lorient
56;562;Pontivy
56;563;Vannes
57;573;Forbach
57;575;Sarrebourg
57;576;Sarreguemines
57;577;Thionville
57;579;Metz
58;581;Château-Chinon (ville)
58;582;Clamecy
58;583;Nevers
58;584;Cosne-Cours-sur-Loire
59;591;Avesnes-sur-Helpe
59;592;Cambrai
59;593;Douai
59;594;Dunkerque
59;595;Lille
59;596;Valenciennes
60;601;Beauvais
60;602;Clermont
60;603;Compiègne
60;604;Senlis
61;611;Alençon
61;612;Argentan
61;613;Mortagne-au-Perche
62;621;Arras
62;622;Béthune
62;623;Boulogne-sur-Mer
62;624;Montreuil
62;625;Saint-Omer
62;626;Calais
62;627;Lens
63;631;Ambert
63;632;Clermont-Ferrand
63;633;Issoire
63;634;Riom
63;635;Thiers
