dep;jour;pro_vac_tot_dose1;pro_vac_tot_complet
01;2021-05-14;2953;2150
02;2021-05-14;2946;2338
03;2021-05-14;2606;2292
04;2021-05-14;1294;935
05;2021-05-14;906;634
06;2021-05-14;5838;4266
07;2021-05-14;2946;2380
08;2021-05-14;1645;1196
09;2021-05-14;1156;968
10;2021-05-14;2153;1835
11;2021-05-14;2698;2071
12;2021-05-14;2516;2045
13;2021-05-14;10439;7655
14;2021-05-14;6698;4508
15;2021-05-14;1228;888
16;2021-05-14;2230;1692
17;2021-05-14;4519;3714
18;2021-05-14;2219;1845
19;2021-05-14;1996;1567
21;2021-05-14;3562;2747
22;2021-05-14;5113;4275
23;2021-05-14;1091;739
24;2021-05-14;3092;2307
25;2021-05-14;2123;1529
26;2021-05-14;3119;2168
27;2021-05-14;2682;1865
28;2021-05-14;2660;2148
29;2021-05-14;8521;7042
2A;2021-05-14;426;222
2B;2021-05-14;495;301
30;2021-05-14;4759;3777
31;2021-05-14;8357;6738
32;2021-05-14;2107;1606
33;2021-05-14;10069;8213
34;2021-05-14;7280;5955
35;2021-05-14;9694;7572
36;2021-05-14;1826;1324
37;2021-05-14;4214;3000
38;2021-05-14;5240;3677
39;2021-05-14;1292;953
40;2021-05-14;3047;2366
41;2021-05-14;2280;1956
42;2021-05-14;5713;4482
43;2021-05-14;2393;1763
44;2021-05-14;9343;7468
45;2021-05-14;3001;2169
46;2021-05-14;1359;1044
47;2021-05-14;2109;1509
48;2021-05-14;935;752
49;2021-05-14;6262;5022
50;2021-05-14;3987;3262
51;2021-05-14;2461;1751
52;2021-05-14;1130;684
53;2021-05-14;2897;2081
54;2021-05-14;3955;3135
55;2021-05-14;861;634
56;2021-05-14;6169;4792
57;2021-05-14;6676;5187
58;2021-05-14;1549;1037
59;2021-05-14;13963;10808
60;2021-05-14;3865;2806
61;2021-05-14;2738;2101
62;2021-05-14;7439;5563
63;2021-05-14;4428;3373
64;2021-05-14;4797;3730
65;2021-05-14;1359;993
66;2021-05-14;3076;2471
67;2021-05-14;6941;5533
68;2021-05-14;3783;2810
69;2021-05-14;8404;6214
70;2021-05-14;955;703
71;2021-05-14;4070;2835
72;2021-05-14;3123;2436
73;2021-05-14;2630;2115
74;2021-05-14;2406;1724
75;2021-05-14;8207;5599
76;2021-05-14;8086;6565
77;2021-05-14;5370;4077
78;2021-05-14;6006;4662
79;2021-05-14;2699;2170
80;2021-05-14;3585;2778
81;2021-05-14;3364;2525
82;2021-05-14;1450;1069
83;2021-05-14;6130;4637
84;2021-05-14;2946;2085
85;2021-05-14;6176;5245
86;2021-05-14;3758;2971
87;2021-05-14;2250;1448
88;2021-05-14;3548;2688
89;2021-05-14;3001;2249
90;2021-05-14;686;467
91;2021-05-14;5137;4059
92;2021-05-14;8171;6052
93;2021-05-14;4165;2914
94;2021-05-14;5693;4271
95;2021-05-14;4425;3408
971;2021-05-14;224;170
972;2021-05-14;228;152
973;2021-05-14;137;76
974;2021-05-14;859;546
977;2021-05-14;7;4
