dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
00;59;2021-05-14;0;1;;;
00;69;2021-05-14;0;1;;;
00;79;2021-05-14;1;0;;;
00;80;2021-05-14;1;0;;;
01;24;2021-05-14;2579;808;45088.0;5.7;1.8
01;29;2021-05-14;2517;896;34820.0;7.2;2.6
01;39;2021-05-14;8376;2907;85588.0;9.8;3.4
01;49;2021-05-14;14498;4900;89678.0;16.2;5.5
01;59;2021-05-14;29980;9926;89791.0;33.4;11.1
01;64;2021-05-14;21417;6467;38384.0;55.8;16.8
01;69;2021-05-14;21859;7780;35116.0;62.2;22.2
01;74;2021-05-14;22944;13554;30953.0;74.1;43.8
01;79;2021-05-14;15626;12587;20058.0;77.9;62.8
01;80;2021-05-14;24490;19763;34225.0;71.6;57.7
02;24;2021-05-14;2242;709;37469.0;6.0;1.9
02;29;2021-05-14;2161;812;26232.0;8.2;3.1
02;39;2021-05-14;7287;2694;62599.0;11.6;4.3
02;49;2021-05-14;11643;4088;64812.0;18.0;6.3
02;59;2021-05-14;25804;8082;70352.0;36.7;11.5
02;64;2021-05-14;18711;5070;34901.0;53.6;14.5
02;69;2021-05-14;20697;6555;34176.0;60.6;19.2
02;74;2021-05-14;22129;12153;28969.0;76.4;42.0
02;79;2021-05-14;13146;10285;16402.0;80.1;62.7
02;80;2021-05-14;22250;17724;32544.0;68.4;54.5
03;24;2021-05-14;2640;591;20427.0;12.9;2.9
03;29;2021-05-14;2108;645;14422.0;14.6;4.5
03;39;2021-05-14;6719;1990;33349.0;20.1;6.0
03;49;2021-05-14;11746;3352;39464.0;29.8;8.5
03;59;2021-05-14;21653;6199;45840.0;47.2;13.5
03;64;2021-05-14;15122;3671;23776.0;63.6;15.4
03;69;2021-05-14;17297;5300;25182.0;68.7;21.0
03;74;2021-05-14;18777;10140;23121.0;81.2;43.9
03;79;2021-05-14;13046;10927;15099.0;86.4;72.4
03;80;2021-05-14;23174;19667;30684.0;75.5;64.1
04;24;2021-05-14;265;94;9366.0;2.8;1.0
04;29;2021-05-14;344;148;7090.0;4.9;2.1
04;39;2021-05-14;1128;486;17545.0;6.4;2.8
04;49;2021-05-14;2456;1055;19525.0;12.6;5.4
04;59;2021-05-14;7275;2792;23898.0;30.4;11.7
04;64;2021-05-14;6318;1969;12510.0;50.5;15.7
04;69;2021-05-14;7297;2799;11975.0;60.9;23.4
04;74;2021-05-14;8554;5447;11196.0;76.4;48.7
04;79;2021-05-14;6493;5340;7612.0;85.3;70.2
04;80;2021-05-14;9507;7752;13386.0;71.0;57.9
05;24;2021-05-14;389;117;8030.0;4.8;1.5
05;29;2021-05-14;495;212;6298.0;7.9;3.4
05;39;2021-05-14;1691;717;16000.0;10.6;4.5
05;49;2021-05-14;2978;1153;17800.0;16.7;6.5
05;59;2021-05-14;7060;2616;20029.0;35.2;13.1
05;64;2021-05-14;5773;1743;10157.0;56.8;17.2
05;69;2021-05-14;6676;2273;10059.0;66.4;22.6
05;74;2021-05-14;7450;4760;8831.0;84.4;53.9
05;79;2021-05-14;5260;4423;5786.0;90.9;76.4
05;80;2021-05-14;8154;6821;11099.0;73.5;61.5
06;24;2021-05-14;5604;1539;75754.0;7.4;2.0
06;29;2021-05-14;6265;2132;53360.0;11.7;4.0
06;39;2021-05-14;19291;6478;126997.0;15.2;5.1
06;49;2021-05-14;34743;10788;136067.0;25.5;7.9
06;59;2021-05-14;70584;22797;146182.0;48.3;15.6
06;64;2021-05-14;41887;15238;67948.0;61.6;22.4
06;69;2021-05-14;44439;22354;65935.0;67.4;33.9
06;74;2021-05-14;50696;31712;64545.0;78.5;49.1
06;79;2021-05-14;41002;34432;49474.0;82.9;69.6
06;80;2021-05-14;65591;54624;89569.0;73.2;61.0
07;24;2021-05-14;1186;384;18892.0;6.3;2.0
07;29;2021-05-14;1102;473;13765.0;8.0;3.4
07;39;2021-05-14;3935;1583;34837.0;11.3;4.5
07;49;2021-05-14;7772;2788;41497.0;18.7;6.7
07;59;2021-05-14;17819;6027;46663.0;38.2;12.9
07;64;2021-05-14;13439;3929;23577.0;57.0;16.7
07;69;2021-05-14;15571;5148;23453.0;66.4;22.0
07;74;2021-05-14;16789;8845;21460.0;78.2;41.2
07;79;2021-05-14;11291;8765;13721.0;82.3;63.9
07;80;2021-05-14;17996;14345;24817.0;72.5;57.8
08;24;2021-05-14;1537;479;18037.0;8.5;2.7
08;29;2021-05-14;1509;552;13085.0;11.5;4.2
08;39;2021-05-14;5021;1770;30561.0;16.4;5.8
08;49;2021-05-14;8153;2586;32888.0;24.8;7.9
08;59;2021-05-14;16950;5308;37571.0;45.1;14.1
08;64;2021-05-14;12115;3239;18636.0;65.0;17.4
08;69;2021-05-14;12712;3943;17922.0;70.9;22.0
