dep;vaccin;jour;n_tot_dose1;n_tot_dose2
01;1;2021-05-14;126151;64889
01;2;2021-05-14;4838;4453
01;3;2021-05-14;32146;1790
01;4;2021-05-14;1206;1
02;1;2021-05-14;100443;55949
02;2;2021-05-14;8205;6334
02;3;2021-05-14;35689;1477
02;4;2021-05-14;1779;0
03;1;2021-05-14;96718;51473
03;2;2021-05-14;13159;7223
03;3;2021-05-14;21684;980
03;4;2021-05-14;787;2
04;1;2021-05-14;39372;26037
04;2;2021-05-14;1;1
04;3;2021-05-14;9887;633
04;4;2021-05-14;391;2
05;1;2021-05-14;35916;22501
05;3;2021-05-14;9694;517
05;4;2021-05-14;331;0
06;1;2021-05-14;272448;159022
06;2;2021-05-14;44343;30192
06;3;2021-05-14;61573;3963
06;4;2021-05-14;1926;6
07;1;2021-05-14;71938;36390
07;2;2021-05-14;15413;10618
07;3;2021-05-14;18683;1305
07;4;2021-05-14;908;1
08;1;2021-05-14;66674;35359
08;2;2021-05-14;3574;1524
08;3;2021-05-14;19990;1317
08;4;2021-05-14;894;1
09;1;2021-05-14;40229;26615
09;2;2021-05-14;7515;3074
09;3;2021-05-14;7047;391
09;4;2021-05-14;271;0
10;1;2021-05-14;77337;40881
10;2;2021-05-14;8761;4493
10;3;2021-05-14;17004;1107
10;4;2021-05-14;732;1
11;1;2021-05-14;82370;45879
11;2;2021-05-14;7670;4638
11;3;2021-05-14;24411;1675
11;4;2021-05-14;982;2
12;1;2021-05-14;76086;46398
12;2;2021-05-14;11068;7883
12;3;2021-05-14;14750;1036
12;4;2021-05-14;465;0
13;1;2021-05-14;455799;276216
13;2;2021-05-14;56124;22066
13;3;2021-05-14;85832;5514
13;4;2021-05-14;3555;5
14;1;2021-05-14;155613;83116
14;2;2021-05-14;23885;13906
14;3;2021-05-14;58914;3193
14;4;2021-05-14;2361;0
15;1;2021-05-14;39841;24422
15;2;2021-05-14;1986;1728
15;3;2021-05-14;11343;586
15;4;2021-05-14;457;0
16;1;2021-05-14;84230;47946
16;2;2021-05-14;7181;4030
16;3;2021-05-14;23859;842
16;4;2021-05-14;1038;2
17;1;2021-05-14;157459;103889
17;2;2021-05-14;10611;6587
17;3;2021-05-14;53870;2732
17;4;2021-05-14;2416;1
18;1;2021-05-14;74375;40152
18;2;2021-05-14;8855;7548
18;3;2021-05-14;15477;511
18;4;2021-05-14;610;0
19;1;2021-05-14;60806;37358
19;2;2021-05-14;5065;2164
19;3;2021-05-14;18940;1053
19;4;2021-05-14;679;0
21;1;2021-05-14;103487;55013
21;2;2021-05-14;18502;16617
21;3;2021-05-14;40178;2113
21;4;2021-05-14;1413;2
22;1;2021-05-14;159636;100001
22;2;2021-05-14;20825;7513
22;3;2021-05-14;41161;1906
22;4;2021-05-14;1581;1
23;1;2021-05-14;36744;20898
23;2;2021-05-14;1683;781
23;3;2021-05-14;7520;519
23;4;2021-05-14;347;0
24;1;2021-05-14;98060;61127
24;2;2021-05-14;12776;6973
24;3;2021-05-14;28695;1616
24;4;2021-05-14;1427;0
25;1;2021-05-14;94792;42533
25;2;2021-05-14;24864;19272
25;3;2021-05-14;31000;1367
25;4;2021-05-14;1276;0
26;1;2021-05-14;114182;60566
26;2;2021-05-14;16873;7886
26;3;2021-05-14;34579;2477
26;4;2021-05-14;1018;2
27;1;2021-05-14;121474;65017
27;2;2021-05-14;9793;4043
27;3;2021-05-14;32165;1394
27;4;2021-05-14;1388;4
28;1;2021-05-14;86202;47273
28;2;2021-05-14;11140;8463
28;3;2021-05-14;25623;1268
28;4;2021-05-14;911;0
29;1;2021-05-14;199905;113559
29;2;2021-05-14;19707;9492
29;3;2021-05-14;85667;2892
